வார்த்தைகள்,எண்ணிக்கை
சென்றார்,3
என்னும்,3
ஏதும்,3
இல்லாத,3
மெதுவாக,3
சண்டபார்க்கவர்,3
முன்பு,3
அரசே,3
தர்ப்பையை,3
கலந்து,3
காமத்தையும்,3
ஏழாம்,3
சொல்லட்டும்,3
கொண்டுசென்று,3
உயிரை,3
சியவன,3
பலகோடி,3
குழந்தையை,3
உரக்கக்,2
அவருள்,2
சில,2
பெருங்காவியத்தின்,2
வழியில்லை,2
நிறைந்த,2
வேள்வித்தீயில்,2
தன்னுள்,2
ஏற்று,2
நீட்டி,2
வேசரதேசத்தில்,2
தாழை,2
நோக்கம்,2
ரதத்தின்,2
எனக்குத்,2
கை,2
வந்திருந்த,2
பத்மபாதரும்,2
தலைக்கோலை,2
திறந்த,2
சிறு,2
பற்றிக்கொண்டான்,2
பறவைகளும்,2
கலங்கி,2
நீர்,2
விழைவு,2
பாம்பும்,2
முதல்,2
விழிகளால்,2
ஆராய்ந்து,2
ரிஷியின்,2
யார்,2
ஞானியான,2
நில்லுங்கள்,2
ஆதியன்னை,2
அதைத்,2
கண்களில்,2
உத்தரை,2
விலக்கி,2
குவிந்த,2
மரவுரியணிந்த,2
காட்டி,2
தந்தையின்,2
கூரை,2
தம்பியர்,2
நெளியும்,2
நகரம்,2
உருவாகிவந்தன,2
மரீசி,2
மண்,2
நாகர்குலத்தின்,2
சின்னம்,2
குருகுலத்தின்,2
சொன்னார்கள்,2
ஆடும்,2
எந்த,2
தோன்றியது,2
கண்ணீருடன்,2
மிகுந்த,2
கிருஷ்ணன்,2
கத்ரு,2
உடைத்து,2
அறிந்தனர்,2
சொன்னபோது,2
அமைச்சர்,2
மடியில்,2
மொத்த,2
தலைப்பாகைகள்,2
ஆங்காங்கே,2
தட்சகனின்,2
உயிருள்ள,2
பார்த்துவிட்டு,2
நாகப்பாம்புகள்,2
நாளில்,2
ஓடிச்சென்று,2
வேண்டும்,2
புஷ்கரவனத்தில்,2
ஆஸ்திகரே,2
பகலும்,2
தோன்றி,2
உடலுக்குள்,2
முழங்க,2
வணங்கினான்,2
வியாசனின்,2
அகம்,2
வரை,2
பாதங்களை,2
முழுமையாக,2
அன்றிரவு,2
ஓடும்,2
விட்டது,2
மடியின்,2
நானும்,2
தலைமேல்,2
துடித்து,2
சென்றனர்,2
தீப்பற்றி,2
அவையெல்லாம்,2
நிறுவி,2
சொடுக்கவும்,2
ஆறு,2
தர்மத்தை,2
தெரிந்தது,2
நிறத்தில்,2
வேள்விக்கூடமே,2
வேள்விக்கூடத்தின்,2
ஒலித்தது,2
குருதியில்,2
வைத்தனர்,2
நிறைந்திருந்தன,2
சுழற்றியபடி,2
அந்தக்,2
